"from Loehle, E&E Nov. 2007", 
calendar date,dev. deg C
16,-0.2816707854865774
17,-0.2770498362729557
18,-0.2700799639517902
19,-0.2662561613672845
20,-0.2630970343831579
21,-0.2133706915298506
22,-0.2124612210702856
23,-0.2114313672189304
24,-0.1770449753734501
25,-0.1727982840430017
26,-0.1595283909800111
27,-0.1828374897900971
28,-0.1812723921788841
29,-0.181956802490394
30,-0.2208887486737259
31,-0.1962182488983921
32,-0.1973856200332106
33,-0.1991704170643127
34,-0.1958976811795074
35,-0.1903066506551992
36,-0.2032006678392794
37,-0.1963699629711243
38,-0.1904422866132254
39,-0.1917107812161388
40,-0.05102815201014114
41,-0.05958084642460206
42,-0.06055831554454416
43,-0.06097867030222994
44,-0.06010937727017468
45,-0.04480843082514238
46,-0.039513682205207
47,-0.03541411446770866
48,-0.03383055436014628
49,-0.03010337866228041
50,-0.02042751659331498
51,-0.02971738075308504
52,-0.02463692098297009
53,-0.02207140374159082
54,-0.03398777814520031
55,-0.04131413282500314
56,-0.04675378799741705
57,-0.01154165293267562
58,-0.0154855142968669
59,-0.07066225039717
60,-0.08873773383475143
61,-0.05918355767130877
62,-0.05870572515899327
63,-0.06337074978953556
64,-0.06878579992795885
65,-0.04180461607429456
66,-0.04037490785148294
67,-0.04530456161434772
68,-0.05145575524829996
69,-0.05380854039418919
70,-0.05179833255347547
71,-0.0603937138836481
72,-0.05875003572272906
73,-0.05795405871123414
74,-0.06024621506037173
75,-0.07276713816199127
76,-0.06087372123409113
77,-0.06507265480619124
78,-0.06274350120117551
79,-0.06193472377170836
80,-0.04866137152813463
81,-0.04434893683638927
82,-0.04212009671099711
83,-0.0357838174647592
84,-0.03018507138325425
85,-0.0157106722192
86,-0.009782630599607803
87,-0.003519307715595175
88,0.002427400748354922
89,0.0825006055519229
90,0.06907902533604357
91,0.1169650951970947
92,0.1287823365764055
93,0.1452826791084745
94,0.1565309549705429
95,0.1741033687636467
96,0.1511376374364894
97,0.1762034681574928
98,0.195012245586959
99,0.2135685569454228
100,0.2373407617521103
101,0.24473574607813
102,0.2490116081470951
103,0.2491473704563419
104,0.2502758971021102
105,0.2351818532149627
106,0.1597605517202537
107,0.1554329655133566
108,0.150375494248989
109,0.1473446112701096
110,0.1396329254463548
111,0.136051507821834
112,0.1327724413754258
113,0.1254017517202531
114,0.116490832180023
115,0.1057880878026771
116,0.09437908397125843
117,0.09053138282183272
118,0.08915448007829757
119,0.07614477149873286
120,0.03178781664915288
121,0.04984326840412543
122,0.03772946097707043
123,0.01063623409117052
124,-0.006286179701933014
125,0.0055599225181684
126,-0.04843765275985462
127,-0.06148248034606175
128,-0.06925165321962477
129,-0.08028958425410792
130,-0.09015893291311175
131,-0.08295605643801516
132,-0.08517329781732631
133,-0.0857399644839938
134,-0.08685375758744176
135,-0.03732862773697528
136,-0.0344406967024928
137,-0.03010202675175308
138,-0.02025483162034941
139,-0.01404916659571902
140,-0.0102309847775368
141,0.004214046649596888
142,0.01440116559012601
143,0.02541837248667844
144,0.03885447728305295
145,0.05231186995423863
146,0.05817936676139095
147,0.07386041054357421
148,0.08068350851839634
149,0.08818235909310948
150,0.07504635778116915
151,0.1098304913328634
152,0.119104054551254
153,0.1468582745742273
154,0.1534857387179464
155,0.2290603137447763
156,0.1489659818830438
157,0.1503855362284856
158,0.1514668170166625
159,0.1493559795782394
160,0.1429120229279931
161,0.1415622692334108
162,0.1371164564255298
163,0.1371117522125571
164,0.1364319492568922
165,0.1381084681403075
166,0.1280952131299347
167,0.1261970080691303
168,0.1288406862300494
169,0.1353629631868093
170,0.1505388316891341
171,0.1587629696201685
172,0.1686305511355331
173,0.171795581815829
174,0.1742216901902135
175,0.1788623188554726
176,0.1495967208030844
177,0.146270284021476
178,0.1406118275354329
179,0.1295684422699159
180,0.09389660195311133
181,0.0851538828829433
182,0.06913556791857428
183,0.05905280929788481
184,0.04878844148179239
185,0.03912053648254701
186,0.07862654284437695
187,0.06555492480724219
188,0.05117030942262666
189,0.03454209233416495
190,0.01885774220153875
191,0.007275514084827043
192,-0.0147805305355972
193,-0.03233168627640801
194,-0.04911948468489562
195,-0.07437986868192569
196,-0.09174729840110301
197,-0.1145457068891665
198,-0.1379197121942055
199,-0.1715774756904175
200,-0.2008559902792769
201,-0.2279992263535474
202,-0.2582480269650296
203,-0.2811896715273629
204,-0.3000013426148961
205,-0.3357333198366448
206,-0.3517324988185823
207,-0.3578330735312261
208,-0.3603679133437265
209,-0.3565885619479952
210,-0.400034483146649
211,-0.3737202339923302
212,-0.3640508990169613
